[2024-07-09 16:16:07.287]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 16:16:07.345]	 Done.

[2024-07-09 19:17:04.474]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-07-09 19:17:04.485]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/install_plugins
[2024-07-09 19:17:04.669]	 Already installed "tmux-cpu"
[2024-07-09 19:17:04.679]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-07-09 19:17:04.828]	 Updating all plugins!
[2024-07-09 19:17:04.829]	 
[2024-07-09 19:17:05.123]	   "tmux-cpu" update success
[2024-07-09 19:17:05.126]	     | Already up to date.
[2024-07-09 19:17:05.135]	 Invoking /Users/bryansebaraj/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-07-09 19:17:05.190]	 Done.

